date,qoq_pct
2011/3/31,2.3
2011/6/30,2.3
2011/9/30,1.8
2011/12/31,1.6
2012/3/31,1.9
2012/6/30,2.1
2012/9/30,1.9
2012/12/31,2
2013/3/31,1.9
2013/6/30,1.7
2013/9/30,2.1
2013/12/31,1.6
2014/3/31,1.9
2014/6/30,1.8
2014/9/30,1.8
2014/12/31,1.7
2015/3/31,1.7
2015/6/30,1.9
2015/9/30,1.7
2015/12/31,1.6
2016/3/31,1.6
2016/6/30,1.8
2016/9/30,1.7
2016/12/31,1.5
2017/3/31,1.8
2017/6/30,1.7
2017/9/30,1.7
2017/12/31,1.5
2018/3/31,1.9
2018/6/30,1.8
2018/9/30,1.5
2018/12/31,1.2
2019/3/31,1.8
2019/6/30,1.6
2019/9/30,1.4
2019/12/31,0.9
2020/3/31,-10.5
2020/6/30,12.8
2020/9/30,3
2020/12/31,2.3
2021/3/31,0
2021/6/30,2.7
2021/9/30,0.3
2021/12/31,1.4
2022/3/31,0.2
2022/6/30,-0.8
2022/9/30,3.1
2022/12/31,0.5
2023/3/31,1.7
2023/6/30,1.2
2023/9/30,1.5
2023/12/31,0.8
2024/3/31,1.4
2024/6/30,1
2024/9/30,1.3
2024/12/31,1.6
2025/3/31,1.2
2025/6/30,1.1
